crop,disease history,msp,temp,rainfall,humidity,n,p,k,season,soil,type
maize,leaf blight,1750,23,650,34,269,112,269,kharif,blacksoil,1
cotton,boll weevil,5150,23,1000,36,245,42,67,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,24,750,35,202,73,173,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,25,675,55,18,3,18,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,35,550,80,60,7,7,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,23,550,35,60,30,30,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,26,575,56,30,0,150,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,30,925,77,40,10,15,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,17,2600,20,135,40,94,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,20,550,22,75,75,55,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,25,1500,42,125,37,37,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,28,1800,70,300,100,200,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,28,1800,72,20,20,20,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,28,525,75,80,40,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,25,500,50,110,40,20,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,33,525,86,20,50,20,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,30,725,84,25,50,30,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,27,800,74,50,25,25,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,24,450,52,200,58,128,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,26,450,59,80,20,20,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,28,50,75,25,50,30,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,15,600,23,90,40,30,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,21,1150,35,20,40,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,30,1000,78,75,75,55,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,19,450,26,100,50,50,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,32,500,79,100,60,60,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,25,300,65,100,50,50,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,26,600,68,60,50,40,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,25,550,64,60,40,40,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,28,450,73,100,75,50,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,17,400,21,100,50,50,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,17,350,25,100,50,70,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,19,390,23,60,40,40,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,18,430,23,30,50,25,rabi,alluvialsoil,34
maize,leaf blight,1750,21.85,617.5,32.3,255.55,106.4,255.55,kharif,blacksoil,1
cotton,boll weevil,5150,21.85,950,34.2,232.75,39.9,63.65,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,22.8,712.5,33.25,191.9,69.35,164.35,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,23.75,641.25,52.25,17.1,2.85,17.1,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,33.25,522.5,76,57,6.65,6.65,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,21.85,522.5,33.25,57,28.5,28.5,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,24.7,546.25,53.2,28.5,0,142.5,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,28.5,878.75,73.15,38,9.5,14.25,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,16.15,2470,19,128.25,38,89.3,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,19,522.5,20.9,71.25,71.25,52.25,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,23.75,1425,39.9,118.75,35.15,35.15,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,26.6,1710,66.5,285,95,190,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,26.6,1710,68.4,19,19,19,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,26.6,498.75,71.25,76,38,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,23.75,475,47.5,104.5,38,19,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,31.35,498.75,81.7,19,47.5,19,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,28.5,688.75,79.8,23.75,47.5,28.5,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,25.65,760,70.3,47.5,23.75,23.75,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,22.8,427.5,49.4,190,55.1,121.6,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,24.7,427.5,56.05,76,19,19,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,26.6,47.5,71.25,23.75,47.5,28.5,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,14.25,570,21.85,85.5,38,28.5,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,19.95,1092.5,33.25,19,38,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,28.5,950,74.1,71.25,71.25,52.25,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,18.05,427.5,24.7,95,47.5,47.5,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,30.4,475,75.05,95,57,57,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,23.75,285,61.75,95,47.5,47.5,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,24.7,570,64.6,57,47.5,38,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,23.75,522.5,60.8,57,38,38,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,26.6,427.5,69.35,95,71.25,47.5,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,16.15,380,19.95,95,47.5,47.5,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,16.15,332.5,23.75,95,47.5,66.5,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,18.05,370.5,21.85,57,38,38,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,17.1,408.5,21.85,28.5,47.5,23.75,rabi,alluvialsoil,34
maize,leaf blight,1750,24.15,682.5,35.7,282.45,117.6,282.45,kharif,blacksoil,1
cotton,boll weevil,5150,24.15,1050,37.8,257.25,44.1,70.35,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,25.2,787.5,36.75,212.1,76.65,181.65,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,26.25,708.75,57.75,18.9,3.15,18.9,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,36.75,577.5,84,63,7.35,7.35,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,24.15,577.5,36.75,63,31.5,31.5,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,27.3,603.75,58.8,31.5,0,157.5,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,31.5,971.25,80.85,42,10.5,15.75,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,17.85,2730,21,141.75,42,98.7,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,21,577.5,23.1,78.75,78.75,57.75,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,26.25,1575,44.1,131.25,38.85,38.85,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,29.4,1890,73.5,315,105,210,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,29.4,1890,75.6,21,21,21,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,29.4,551.25,78.75,84,42,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,26.25,525,52.5,115.5,42,21,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,34.65,551.25,90.3,21,52.5,21,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,31.5,761.25,88.2,26.25,52.5,31.5,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,28.35,840,77.7,52.5,26.25,26.25,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,25.2,472.5,54.6,210,60.9,134.4,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,27.3,472.5,61.95,84,21,21,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,29.4,52.5,78.75,26.25,52.5,31.5,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,15.75,630,24.15,94.5,42,31.5,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,22.05,1207.5,36.75,21,42,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,31.5,1050,81.9,78.75,78.75,57.75,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,19.95,472.5,27.3,105,52.5,52.5,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,33.6,525,82.95,105,63,63,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,26.25,315,68.25,105,52.5,52.5,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,27.3,630,71.4,63,52.5,42,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,26.25,577.5,67.2,63,42,42,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,29.4,472.5,76.65,105,78.75,52.5,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,17.85,420,22.05,105,52.5,52.5,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,17.85,367.5,26.25,105,52.5,73.5,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,19.95,409.5,24.15,63,42,42,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,18.9,451.5,24.15,31.5,52.5,26.25,rabi,alluvialsoil,34
maize,leaf blight,1750,23.23,656.5,34.34,271.69,113.12,271.69,kharif,blacksoil,1
cotton,boll weevil,5150,23.23,1010,36.36,247.45,42.42,67.67,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,24.24,757.5,35.35,204.02,73.73,174.73,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,25.25,681.75,55.55,18.18,3.03,18.18,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,35.35,555.5,80.8,60.6,7.07,7.07,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,23.23,555.5,35.35,60.6,30.3,30.3,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,26.26,580.75,56.56,30.3,0,151.5,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,30.3,934.25,77.77,40.4,10.1,15.15,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,17.17,2626,20.2,136.35,40.4,94.94,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,20.2,555.5,22.22,75.75,75.75,55.55,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,25.25,1515,42.42,126.25,37.37,37.37,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,28.28,1818,70.7,303,101,202,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,28.28,1818,72.72,20.2,20.2,20.2,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,28.28,530.25,75.75,80.8,40.4,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,25.25,505,50.5,111.1,40.4,20.2,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,33.33,530.25,86.86,20.2,50.5,20.2,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,30.3,732.25,84.84,25.25,50.5,30.3,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,27.27,808,74.74,50.5,25.25,25.25,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,24.24,454.5,52.52,202,58.58,129.28,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,26.26,454.5,59.59,80.8,20.2,20.2,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,28.28,50.5,75.75,25.25,50.5,30.3,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,15.15,606,23.23,90.9,40.4,30.3,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,21.21,1161.5,35.35,20.2,40.4,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,30.3,1010,78.78,75.75,75.75,55.55,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,19.19,454.5,26.26,101,50.5,50.5,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,32.32,505,79.79,101,60.6,60.6,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,25.25,303,65.65,101,50.5,50.5,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,26.26,606,68.68,60.6,50.5,40.4,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,25.25,555.5,64.64,60.6,40.4,40.4,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,28.28,454.5,73.73,101,75.75,50.5,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,17.17,404,21.21,101,50.5,50.5,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,17.17,353.5,25.25,101,50.5,70.7,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,19.19,393.9,23.23,60.6,40.4,40.4,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,18.18,434.3,23.23,30.3,50.5,25.25,rabi,alluvialsoil,34
maize,leaf blight,1750,23.345,659.75,34.51,273.035,113.68,273.035,kharif,blacksoil,1
cotton,boll weevil,5150,23.345,1015,36.54,248.675,42.63,68.005,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,24.36,761.25,35.525,205.03,74.095,175.595,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,25.375,685.125,55.825,18.27,3.045,18.27,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,35.525,558.25,81.2,60.9,7.105,7.105,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,23.345,558.25,35.525,60.9,30.45,30.45,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,26.39,583.625,56.84,30.45,0,152.25,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,30.45,938.875,78.155,40.6,10.15,15.225,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,17.255,2639,20.3,137.025,40.6,95.41,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,20.3,558.25,22.33,76.125,76.125,55.825,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,25.375,1522.5,42.63,126.875,37.555,37.555,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,28.42,1827,71.05,304.5,101.5,203,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,28.42,1827,73.08,20.3,20.3,20.3,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,28.42,532.875,76.125,81.2,40.6,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,25.375,507.5,50.75,111.65,40.6,20.3,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,33.495,532.875,87.29,20.3,50.75,20.3,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,30.45,735.875,85.26,25.375,50.75,30.45,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,27.405,812,75.11,50.75,25.375,25.375,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,24.36,456.75,52.78,203,58.87,129.92,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,26.39,456.75,59.885,81.2,20.3,20.3,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,28.42,50.75,76.125,25.375,50.75,30.45,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,15.225,609,23.345,91.35,40.6,30.45,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,21.315,1167.25,35.525,20.3,40.6,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,30.45,1015,79.17,76.125,76.125,55.825,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,19.285,456.75,26.39,101.5,50.75,50.75,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,32.48,507.5,80.185,101.5,60.9,60.9,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,25.375,304.5,65.975,101.5,50.75,50.75,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,26.39,609,69.02,60.9,50.75,40.6,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,25.375,558.25,64.96,60.9,40.6,40.6,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,28.42,456.75,74.095,101.5,76.125,50.75,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,17.255,406,21.315,101.5,50.75,50.75,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,17.255,355.25,25.375,101.5,50.75,71.05,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,19.285,395.85,23.345,60.9,40.6,40.6,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,18.27,436.45,23.345,30.45,50.75,25.375,rabi,alluvialsoil,34
maize,leaf blight,1750,23.46,663,34.68,274.38,114.24,274.38,kharif,blacksoil,1
cotton,boll weevil,5150,23.46,1020,36.72,249.9,42.84,68.34,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,24.48,765,35.7,206.04,74.46,176.46,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,25.5,688.5,56.1,18.36,3.06,18.36,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,35.7,561,81.6,61.2,7.14,7.14,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,23.46,561,35.7,61.2,30.6,30.6,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,26.52,586.5,57.12,30.6,0,153,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,30.6,943.5,78.54,40.8,10.2,15.3,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,17.34,2652,20.4,137.7,40.8,95.88,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,20.4,561,22.44,76.5,76.5,56.1,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,25.5,1530,42.84,127.5,37.74,37.74,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,28.56,1836,71.4,306,102,204,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,28.56,1836,73.44,20.4,20.4,20.4,kharif,redsoil,13
